,CommentText,Nickname,Date,LikesCount,IsBaseComment
180," Пусть лучше власти возьмутся за нелегалов, а то народ возьмётся за всех. ", Mike Fauley ,2022-02-17 09:04:00,24,True
181," А северный кавказ лучше, что ли? Там такие радикалы, посмотрите, что они сделали со своими Девушками-превратили их в покорных рабынь. Разве это не нарушение прав человека, да ещё и прекрасной половины человечества? ", Andrey Voronin ,2022-02-17 09:11:00,9,True
182," Мигранты должны соблюдать Законы РФ, иначе труба!!! ", Александр Мойсеенок ,2022-02-17 09:20:00,10,True
183," Они судят о русских по себе. А это в корне неверно. Чтобы понять русских - нужно встать лицом к лицу...с США, с Европой, с Китаем, с арабами и турками, с Африкой и Австралией и это одновременно... ", Ник Плутошка ,2022-02-17 09:21:00,7,True
184," Народ, вперёд!!! ", Александр Мойсеенок ,2022-02-17 09:22:00,5,True
185," Читаю новости: в Калуге разрывают договоры аренды площадей для торговли на рынке. Мы что запускаем мигрантов в свою страну для того, чтобы торговали на рынках? У нас что некому этим заниматься. И каким образом они очутились у нас в стране? Кто их приглашал? Если занимаешься не тем для чего тебя пригласили - надо говорить прощай и на границу ", Vsevolod Naconkin ,2022-02-17 09:22:00,17,True
186, чипы на обооронку мыы уже делаем. а люди без смартфона проживут. даже лучше будет , С 500 ,2022-02-17 09:23:00,8,False
187," Русским не до блох в шерстИ, но заели уже... Слава богу, химическая промышленность работает... ", Ник Плутошка ,2022-02-17 09:23:00,5,True
188," Во всех бедах, в том числе борьбе с бедностью, конечно же нелегалы виноваты... ", Александр ,2022-02-17 09:26:00,16,False
189," А все потому, что мы молчим, действительно ведут себя нагло. Никакого гражданства, работа только по договору. Мы с мужем из Волгограда, работаем много лет на Севере, в городе Газодобытчиков, раньше город был закрыт, а сейчас сюда ломанулись, азиаты и кавказцы, в основном такса, да рынок у них. Наглые до предела, у тех у кого уже Гражданство, рожают ради мат. капитала,и ведут себя как хозяева. Избивают действительно толпой. Куда смотрит наше Правительство? Хорошенькими хотят казаться. Да сколько волка не корми, он всеравно в лес смотрит. Обналичивают мат капитал, и уезжают. ", Любовь Павлова ,2022-02-17 09:34:00,20,True
190," Виталий, вот пусть русскоязычное население не ноет, а уезжает с их Страны. ", Любовь Павлова ,2022-02-17 09:38:00,8,True
191," ВВ, надо не только их, но и тех, кто берет!¡! ", Александр Мойсеенок ,2022-02-17 09:41:00,9,True
192," Заполонят всю Россию, а затем скажут, дескать их Родина. История вас не учит. ", Любовь Павлова ,2022-02-17 09:47:00,15,True
193," Какой кайф. Владимир Владимирович, я буду голосовать за вас! ", Красный Комиссар ,2022-02-17 09:59:00,13,True
194," Интересно, наши ""илиты"" понимают, что запад заинтересован, чтобы к власти в России пришли главари ""аулов"" и ""кишлаков"", которым много не надо? ""Мой клан хорошо живет и отлично"", - предел мечтаний и амбиций. Коврик в коридоре((( ", Ник Плутошка ,2022-02-17 10:01:00,10,True
195," Вот донести бы до главарей кланов мысль, что русские отхватят кусок - им большие крошки прилетят. Русских затопчут - их родственники превратятся в пастухов, причем в прямом смысле слова. Хотя, чего я хочу от пастухов?! ((( ", Ник Плутошка ,2022-02-17 10:07:00,4,True
196," Растёт ввод жилья на 50%, драйвер рынка, ипотека. Правительство расширило пилотный проект по привлечению трудовых мигрантов из Узбекистана. Постановление Кабинета Министров вступает в силу 17 февраля. И параллельно с этим - в Следственном Комитете заявили об обострении преступности среди иммигрантов.Получается так: преступность среди иммигрантов обостряется, население из-за этого страдает, НО так, как людям, занимающиеся стройкой нужны руки, на которых можно зарабатывать сверхдоходы - мы будем на всё это закрывать глаза и дальше их завозить тысячами, не знающих Историю России, Русский Язык, откровенно плюющих на наши законы, потому что за преступление их просто депортируют обратно. Стратегия есть какая-нибудь?! Люди берут кредит на жильё, поддерживая банки(логика либералистов)... жильё абы как строят мигранты, поддерживая производство строительных материалов. Беднейшие вообще не могут купить себе жильё, а не беднейшие влезают в долги на десятки лет..Разве это хорошо? ", Артём Макаров ,2022-02-17 10:07:00,10,True
197, Добрый народ)))..... Нацизм.. Неа не слышали , я МмММ ,2022-02-17 10:08:00,9,True
198," Вам в Союзмультфильме об этом рассказали? Рекомендую изучить матчасть производства Российских процессоров в Тайване (фирма TSMC - почти для всего мира клепает..), перед тем как отвечать...Предположу, что Вы и есть единственный Россиянин, обладатель Эльбруса... Почем вышло? Как с видео и звуком? ", Александр ,2022-02-17 10:14:00,6,False
199, а куар коды куда скачивать будем ? , Татьяна Машкова ,2022-02-17 10:31:00,1,False
200," Плюс статью за публичное выражение отрицания наличия такой нации - русские (повсеместные вопросы с удивлением и усмешкой ""А кто такие русские? Разве есть такая нация?"" настолько часты, что уже давно чреваты) ", tamarevna5 ,2022-02-17 10:53:00,8,False
201, а православная церковь в аэропорту есть? , Татьяна Машкова ,2022-02-17 10:54:00,2,True
202, Это правильно.. да и среди своих надо лишать гражданства за экстремизм - чище будет.. , Кузма Справедливов ,2022-02-17 10:57:00,5,True
203," Любовь Павлова вы о чём? Я представитель русскоязычного населения. Мне повезло я выехал. Я рассказываю что было тогда когда я был там. Представте что вам после 45 и вы выезжаете в германию например так же как они. У вас нету там родствеников, никого нет. Вас хотят поселит незнама где. Какого это? Люди там не ноют. Я рассказывая о ситуации там имел ввиду что большая вероятность того что та молодёж которая сейчас приездает в Россию на подработку не считаеться с законом и с населением. ", Виталий Г ,2022-02-17 11:02:00,4,False
204, Я метис я приехал от туда. Я видел как менялась их идеология к худшему. И я не считаю себя нацистом. Я считаю что так себя в гостях не уважительно. А так кау они ведут себя тут по их меркам сверх неуважительно. , Виталий Г ,2022-02-17 11:12:00,8,False
205," Не на нас, а на бизнес, для сверх прибылей, им ""можно"" платить меньше. Именно бизнюки, вполне расейские и славянские их вовсю и зазывают и завозят. ", silanty ,2022-02-17 11:18:00,4,False
206," Ну просто станут легальными, делов, то. Немного больше взяток.Виноват капитализм, ""рынок"" который превратил страну в проходной двор и выставил на продажу. Это трудовые мигнаты, на них наживаются. А есть куча нетрудовых. Любой с деньгами приедет и купить, может и квартал купить и вполне легально. ", silanty ,2022-02-17 11:21:00,9,True
207, Как вы это представляете себе? Особенно в том случае когда человека бьёт толпа приезжих и один из них наносит смертельный удар и сваливает на родину. И получаеться кто? Зачем? Где? , Виталий Г ,2022-02-17 11:24:00,7,False
208," Придется мыть самому. Или платить уборщице как секретарще - чисто по законам спроса и предложения. Никто ж не любит грязную и непрестижную работу - значит надо больше за нее платить что б шли. В СССР так собственно и было.Ну и можно еще просто меньше пачкать, мусорить и тп - тогда и буирать меньше ", silanty ,2022-02-17 11:25:00,7,False
209," А где пограничники были? Нелегальные мигранты приезжают, как к себе домой, а вы теперь головы ломаете, как от них избавиться? Логика где? ", Константин Русский ,2022-02-17 11:48:00,10,True
210, Лучше бы прекратили продажу солярки на вукраинуж. , Евгений Лобода ,2022-02-17 11:48:00,3,True
