,Nickname,LikedByAuthor,CommentText,Date,LikesCount,isBaseComment,RepliesCount,RepliesID
45,FItphil Training,False, @Deborah Weller  🙏🙏,2021-11-01 07:09:28.122143,1,False,0,[]
46,Angie Mitten,False,What a lovely comment. 😊,2022-02-15 07:09:28.123139,0,False,0,[]
47,Not To Mention Anyone,False,maybe because they don't do the promotion like others album and don't do concert or tour for this album. Also this album has such deep meaning and special for them like this is the first album that has cursing word on the song.,2021-10-01 07:09:28.337043,8,False,0,[]
48,Zack Zallie,False, @Not To Mention Anyone  the lack of marketing and creative freedom what makes this album a bit shiny compare to their last two albums,2021-10-01 07:09:28.340035,1,False,0,[]
49,Issam Rosenthal,False,🙏💗,2021-06-01 07:09:28.596864,3,False,0,[]
50,Kyle Moody,False,no kidding ... I am legit crying for the last hour listening to this for the first time!,2021-09-01 07:09:28.597861,5,False,0,[]
51,Melany Ferreyra,False,LEGIT CRYING,2021-11-01 07:09:28.599856,0,False,0,[]
52,Patricia Medina,False,Me too!!!,2022-01-01 07:09:28.601850,0,False,0,[]
53,Anmol Poptani,False,Everyday life hits hardest.,2022-02-01 07:09:28.602848,0,False,0,[]
54,Pushpika Kodithuwakku,False,anything abt religion ??,2021-03-01 07:09:28.932892,3,False,0,[]
55,Jorge Arturo Morales Vidal,False," @Pushpika Kodithuwakku  I think When I Need A Friend is the most religious song Coldplay has released over the years, although not explicitly.",2021-03-01 07:09:28.933865,19,False,0,[]
56,Lisa Jones,False,I concur,2021-03-01 07:09:28.935885,2,False,0,[]
57,The Boys,False,Very nice use of lyrics there,2021-03-01 07:09:28.936857,11,False,0,[]
58,kerry nicholls,False,Yes I applaud you for this comment - abso- freakin- lutely!,2021-03-01 07:09:28.937890,13,False,0,[]
59,Anjel Debnath,False,One of the best comment I have seen so far❤️,2021-03-01 07:09:28.938852,11,False,0,[]
60,Nathan Tew,False," @Pushpika Kodithuwakku  the song broken is literally about religion. in fact, the theme of religion is present throughout this album.",2021-03-01 07:09:28.940847,11,False,0,[]
61,Rebecca Tornaritis,False,"I so agree with you. Their music is a anthem to peace, love and humanity",2021-03-01 07:09:28.941844,15,False,0,[]
62,Jodi Michelle Schoenherr,False,Bands can't be nominated for Nobel ✌ peace prize? That's a shame. I bet #Greta can help get the word out. 🌏🌎🌍 Has anyone asked her yet? To share the music? 😍 #TheIrieStation ☝,2021-03-01 07:09:28.942841,8,False,0,[]
63,Joana Lickfold,False,9oi9,2021-03-01 07:09:28.944860,2,False,0,[]
64,Jan Rice,False,Coldplay,2021-03-01 07:09:29.267149,1,False,0,[]
65,Chantale Laforge,False,"Absolutely,I support, Coldplay peace and love , Nobel price.",2021-03-01 07:09:29.269144,4,False,0,[]
66,Gwen Sword,False,Can I. Save than bin mus,2021-05-01 07:09:29.270141,0,False,0,[]
67,Bella Fawzi,False,So agreee with you 💚💚💚💚 peace and love!,2021-05-01 07:09:29.273134,1,False,0,[]
68,Adeline Poire,False,Déjà 1an merci Chris for the sing for the composition de dansing  tout ton art est incroyable.for tout ce que tu donnes.merci infiniment pr le courage que tu ns apporte simple thank you .you have 1 énorme artiste avec bcp de talent 😍👍😷🤎🗝️🗝️🙏,2021-05-01 07:09:29.275129,0,False,0,[]
69,Issam Rosenthal,False,🥰🥰🥰,2021-06-01 07:09:29.277123,0,False,0,[]
70,Daniel Cardozo,False,"Someone asked me why I love Coldplay so much, and my answer has always been ""because they thought me how to dream"". Your description couldn't have summed it up better.",2021-06-01 07:09:29.278275,2,False,0,[]
71,susu,False,wow you have amazing creativity ! that's the most impressive comment I've ever seen.,2021-06-01 07:09:29.280265,2,False,0,[]
72,Terrance Kanyezi,False,"I spend a long time listening to Coldplay, and the result - now my feet won't touch the ground.

So yeah, Long Live Life (Viva la Vida)......",2021-07-01 07:09:29.282259,2,False,0,[]
73,wilgot,False,Cringe,2021-07-01 07:09:29.284253,0,False,0,[]
74,Miguel Gomes,False,intangible heritage of humanity,2021-07-01 07:09:29.285251,0,False,0,[]
75,Charlie,False,"you need to listen to the lyrics more, its none of the above.",2021-07-01 07:09:29.287246,1,False,0,[]
76,Patricia Otten,False,"AGREE!!!!!!!!!!
And agree some more!!!!!",2021-07-01 07:09:29.289264,0,False,0,[]
77,Causer Ëffect,False,👐❤️✨,2021-08-01 07:09:29.291255,0,False,0,[]
78,Susan Lawrence Anderson,False,"Because too many Coldplay haters
I really don't know why they are the BBITW  loved them since I saw them live Glastonbury 2002.  Coldplay are always better live u have to be in the crowd the atmosphere is electric is 👍another 🌎",2021-08-01 07:09:29.293231,0,False,0,[]
79,Maureen Clément,False,Thoughtful contribution 😊 thank you for sharing your ideas 🎈,2021-10-01 07:09:29.294251,0,False,0,[]
80,Teresa Barajas,False,Spoken like a true poet. Yes! I concur. Cold Play forever!!!,2021-10-01 07:09:29.296246,0,False,0,[]
81,UlpUlp UlpUlp,False,A rhetorical question,2021-10-01 07:09:29.298245,0,False,0,[]
82,Connie Moffitt,False,Absolutely!,2021-10-01 07:09:29.299242,0,False,0,[]
83,Papushkaq,False,"Definitely a great performance by the artists involved. Was the concert a year ago? If that being the case, let us give a moments' silence for those not so far away. They, like us, just want to lead a peaceful life without someone telling them what to do in oder to reach that goal. ..",2021-10-01 07:09:29.301241,0,False,0,[]
84,MrArie345,False,I agree to this...even though it's a year later,2021-10-01 07:09:29.303232,0,False,0,[]
85,Juan Alcides Molina López,False, @Pushpika Kodithuwakku  Everyday life is all a religious album,2021-10-01 07:09:29.305197,0,False,0,[]
86,Eleonora Sapin,False,😍🥰😘they give me hope .. and happiness 😍🥰😘very authentic album,2021-12-01 07:09:29.307222,1,False,0,[]
87,Nikka Sasongko,False,Respect for you and the comment :) Salam!,2022-01-01 07:09:29.309211,0,False,0,[]
88,Bro. Tolliver,False,"Say it to a stranger, in person, in real life, face to face.",2021-07-01 07:09:29.624254,1,False,0,[]
89,Joan L,False,Love from Canada. :)  I feel like I've been given a gift with this beautiful recording.,2021-08-01 07:09:29.626248,1,False,0,[]
90,Tourbillon 13,False,"Okay, bawling my eyes and heart out. Such beautiful souls. I haven't met any in quite a while.
Too long.
Thankyou.
Peace and Light 🌟",2021-09-01 07:09:29.628243,0,False,0,[]
91,Андрей,False, @Tourbillon 13  а где ты живёшь?,2021-10-01 07:09:29.630237,0,False,0,[]
92,Nguyen Le,False,Peace! ✌️,2021-12-01 07:09:29.631234,0,False,0,[]
93,Issam Rosenthal,False,Very beautiful message. 🙏💗,2021-06-01 07:09:29.853918,6,False,0,[]
94,Kyle Moody,False,I just have heard this album for the first time tonight.  I have been in quarantine for 1 week now with Covid and this music has made me feel like life is going to be ok tonight.  It is hard to be alone like this for 10 days or 2 weeks but finding ways to connect with my spirit and heal has been an awakening experience.  This music is beautiful and the video performance in Amman is just absolutely beyond!  Feeling grateful tonight....,2021-09-01 07:09:29.855913,8,False,0,[]
95,Christian Lopez,False,41:53 is Bani Adam,2021-03-01 07:09:30.194872,27,False,0,[]
96,Uransolongo Bayaraa Yalçın,False,Hdg,2021-03-01 07:09:30.195869,1,False,0,[]
97,Tarek Rahman Khan,False,really thanks a lot...,2021-03-01 07:09:30.197904,13,False,0,[]
98,Pennies From Heaven,False,"Thanks for posting this ❤️
What an incredible idea and place for a performance from Cold Play",2021-03-01 07:09:30.198886,19,False,0,[]
99,thunderbirdice,False,Thanks,2021-03-01 07:09:30.199893,4,False,0,[]
100,astiti bueno,False,Thanks a bunch,2021-03-01 07:09:30.200881,3,False,0,[]
101,nancy quinones,False,"Never heard the whole thing, this is amazing, fantastic work as usual, coldplay blows my mind, feeds my soul, awakens my spirit☮️ I simply adore this group of musicians💖the world is blessed with them🌞",2021-03-01 07:09:30.201852,17,False,0,[]
102,Jim M,False,Thank you.  Muchas gracias.  Wish the original poster would do this - with a link to lyrics.,2021-03-01 07:09:30.202851,5,False,0,[]
103,Gisele,False,Thanks my dear friend in spiritual conections....,2021-03-01 07:09:30.204845,5,False,0,[]
104,kisaragi station commuter,False,Where is clocks?,2021-03-01 07:09:30.205842,2,False,0,[]
105,김재원,False,ㅇㄷ,2021-03-01 07:09:30.626480,0,False,0,[]
106,Nadeem Samara,False,Thanks,2021-03-01 07:09:30.628468,3,False,0,[]
107,Clinton Opati,False,yes to listen more than once...6:40,2021-03-01 07:09:30.629466,4,False,0,[]
108,Julia Viter,False,"Thank You 😊 so much!!!
Best wishes to You! 
Have a great 👍 2021 !!!",2021-03-01 07:09:30.630466,3,False,0,[]
109,Danutė Vyšniauskaitė,False,Just watched the entire 58 minutes... this definitely should have so many more views!,2021-03-01 07:09:30.631435,4,False,0,[]
110,TZMadv,False,"20:20 - 25:50 hypnotizing moment, my head can't stop shaking, thank you for the list",2021-03-01 07:09:30.632433,4,False,0,[]
111,Romel Barraza,False,Thank you so so much ❤️,2021-03-01 07:09:30.633456,4,False,0,[]
112,Concurseiro PMPI2021,False,Thanks,2021-03-01 07:09:30.635451,3,False,0,[]
113,Belinda Jane Dawe,False,I know this ... I love my wand thank you so much it’s nice to be years 😇 ahhh typo heard,2021-03-01 07:09:30.636448,2,False,0,[]
114,Belinda Jane Dawe,False,Thank you Chris you are apart of me and speak a language I know blessed gratitude 🙏 xx,2021-03-01 07:09:30.637453,5,False,0,[]
115,Belinda Jane Dawe,False,I love tulips 🌷,2021-03-01 07:09:30.638418,2,False,0,[]
116,Belinda Jane Dawe,False,Crazy me nah love big,2021-03-01 07:09:30.640412,0,False,0,[]
117,Belinda Jane Dawe,False,Speed of sound,2021-03-01 07:09:30.641410,0,False,0,[]
118,Belinda Jane Dawe,False,Matty - you get a life insurance I knew you were special,2021-03-01 07:09:30.642438,1,False,0,[]
119,Edward Diaz,False,I,2021-03-01 07:09:30.643404,0,False,0,[]
